external_id,reference,color,tra_value,size,label,ean,image,price
A065H94000,A065H,ALF,variante 7,0,3 BODIES US MC,3666072761781,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H94010,A065H,ALF,variante 7,1,3 BODIES US MC,3666072761798,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H94030,A065H,ALF,variante 7,3,3 BODIES US MC,3666072761828,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H94070,A065H,ALF,variante 7,7,3 BODIES US MC,3666072761811,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H94080,A065H,ALF,variante 7,8,3 BODIES US MC,3666072761835,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H94090,A065H,ALF,variante 7,9,3 BODIES US MC,3666072761842,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H94490,A065H,ALF,variante 7,49,3 BODIES US MC,3666072761804,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H94F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96000,A065H,ALD,variante 5,0,3 BODIES US MC,3666072762207,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96010,A065H,ALD,variante 5,1,3 BODIES US MC,3666072762214,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96030,A065H,ALD,variante 5,3,3 BODIES US MC,3666072761682,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96070,A065H,ALD,variante 5,7,3 BODIES US MC,3666072761675,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96080,A065H,ALD,variante 5,8,3 BODIES US MC,3666072761699,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96090,A065H,ALD,variante 5,9,3 BODIES US MC,3666072761705,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H96490,A065H,ALD,variante 5,49,3 BODIES US MC,3666072761668,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H96F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H97000,A065H,ZG9,variante 4,0,3 BODIES US MC,3666072761712,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H97F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H97010,A065H,ZG9,variante 4,1,3 BODIES US MC,3666072761729,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H97F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H97030,A065H,ZG9,variante 4,3,3 BODIES US MC,3666072761750,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H97F1.jpg?sw=200&sh=200&sm=fit,22.0
A065H97070,A065H,ZG9,variante 4,7,3 BODIES US MC,3666072761743,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A065H97F1.jpg?sw=200&sh=200&sm=fit,22.0
